sportradar_id,scraping_history_id,engine_name,bookmaker,start_time,tournament_name,home_team,away_team,lambda_home,lambda_away,lambda_total,p_home_1up,p_away_1up,fair_home,fair_away,pawa_draw,sporty_h_1up,sporty_a_1up,draw,sporty_fair_h,sporty_fair_a,home_fair_diff,away_fair_diff,pawa_3_home,pawa_3_away,pawa_3_home_diff,pawa_3_away_diff,pawa_4_home,pawa_4_away,pawa_4_home_diff,pawa_4_away_diff,pawa_5_home,pawa_5_away,pawa_5_home_diff,pawa_5_away_diff,pawa_6_home,pawa_6_away,pawa_6_home_diff,pawa_6_away_diff,pawa_7_home,pawa_7_away,pawa_7_home_diff,pawa_7_away_diff,pawa_8_home,pawa_8_away,pawa_8_home_diff,pawa_8_away_diff
61061289,172,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2616,1.3594,2.621,0.515,0.5514,1.942,1.813,3.4,1.83,1.7,3.4,2.076,1.929,-0.135,-0.115,2.01,1.878,0.18,0.178,1.991,1.86,0.161,0.16,1.972,1.842,0.142,0.142,1.953,1.825,0.123,0.125,1.935,1.807,0.105,0.107,1.917,1.791,0.087,0.091
61061289,42,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2616,1.3594,2.621,0.5148,0.5512,1.942,1.814,3.4,1.83,1.7,3.4,2.076,1.929,-0.134,-0.115,2.01,1.878,0.18,0.178,1.991,1.86,0.161,0.16,1.972,1.842,0.142,0.142,1.953,1.824,0.123,0.124,1.935,1.807,0.105,0.107,1.917,1.791,0.087,0.091
61061289,302,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2616,1.3594,2.621,0.5135,0.5512,1.947,1.814,3.4,1.83,1.69,3.39,2.083,1.923,-0.136,-0.109,2.013,1.875,0.183,0.185,1.994,1.857,0.164,0.167,1.975,1.84,0.145,0.15,1.956,1.822,0.126,0.132,1.938,1.805,0.108,0.115,1.92,1.789,0.09,0.099
61061289,432,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2616,1.3594,2.621,0.513,0.5518,1.949,1.812,3.4,1.83,1.69,3.39,2.083,1.923,-0.133,-0.111,2.015,1.873,0.185,0.183,1.996,1.855,0.166,0.165,1.977,1.838,0.147,0.148,1.958,1.82,0.128,0.13,1.94,1.803,0.11,0.113,1.922,1.787,0.092,0.097
61061289,562,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2514,1.3769,2.6282,0.5085,0.5562,1.967,1.798,3.35,1.85,1.68,3.37,2.101,1.908,-0.135,-0.11,2.033,1.859,0.183,0.179,2.013,1.841,0.163,0.161,1.994,1.823,0.144,0.143,1.975,1.806,0.125,0.126,1.957,1.789,0.107,0.109,1.939,1.773,0.089,0.093
61061289,172,FirstGoal,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2502,1.3456,2.5958,0.5132,0.5504,1.949,1.817,3.4,1.83,1.7,3.4,2.076,1.929,-0.128,-0.112,2.012,1.876,0.182,0.176,1.993,1.858,0.163,0.158,1.974,1.84,0.144,0.14,1.955,1.823,0.125,0.123,1.937,1.806,0.107,0.106,1.919,1.789,0.089,0.089
61061289,42,FirstGoal,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2502,1.3456,2.5958,0.5102,0.5515,1.96,1.813,3.4,1.83,1.7,3.4,2.076,1.929,-0.117,-0.116,2.02,1.869,0.19,0.169,2.001,1.851,0.171,0.151,1.982,1.834,0.152,0.134,1.963,1.816,0.133,0.116,1.945,1.799,0.115,0.099,1.927,1.783,0.097,0.083
61061289,302,FirstGoal,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2502,1.3456,2.5958,0.5122,0.5503,1.952,1.817,3.4,1.83,1.69,3.39,2.083,1.923,-0.131,-0.106,2.014,1.874,0.184,0.184,1.995,1.856,0.165,0.166,1.976,1.839,0.146,0.149,1.957,1.821,0.127,0.131,1.939,1.804,0.109,0.114,1.921,1.788,0.091,0.098
61061289,432,FirstGoal,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2502,1.3456,2.5958,0.5145,0.5504,1.944,1.817,3.4,1.83,1.69,3.39,2.083,1.923,-0.139,-0.107,2.009,1.878,0.179,0.188,1.99,1.86,0.16,0.17,1.971,1.843,0.141,0.153,1.953,1.825,0.123,0.135,1.934,1.808,0.104,0.118,1.916,1.791,0.086,0.101
61061289,562,FirstGoal,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2371,1.3587,2.5958,0.5066,0.558,1.974,1.792,3.35,1.85,1.68,3.37,2.101,1.908,-0.127,-0.116,2.04,1.852,0.19,0.172,2.021,1.835,0.171,0.155,2.001,1.817,0.151,0.137,1.982,1.8,0.132,0.12,1.964,1.783,0.114,0.103,1.946,1.767,0.096,0.087
61061289,172,Handicap,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2521,1.3437,2.5958,0.51,0.55,1.961,1.818,3.4,1.83,1.7,3.4,2.076,1.929,-0.116,-0.111,2.018,1.871,0.188,0.171,1.999,1.853,0.169,0.153,1.98,1.835,0.15,0.135,1.961,1.818,0.131,0.118,1.943,1.801,0.113,0.101,1.925,1.784,0.095,0.084
61061289,42,Handicap,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2521,1.3437,2.5958,0.5072,0.5536,1.972,1.806,3.4,1.83,1.7,3.4,2.076,1.929,-0.105,-0.123,2.031,1.86,0.201,0.16,2.011,1.842,0.181,0.142,1.992,1.825,0.162,0.125,1.973,1.808,0.143,0.108,1.955,1.791,0.125,0.091,1.937,1.774,0.107,0.074
61061289,302,Handicap,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2521,1.3437,2.5958,0.5121,0.5482,1.953,1.824,3.4,1.83,1.69,3.39,2.083,1.923,-0.13,-0.099,2.01,1.878,0.18,0.188,1.991,1.86,0.161,0.17,1.972,1.842,0.142,0.152,1.953,1.825,0.123,0.135,1.935,1.808,0.105,0.118,1.917,1.791,0.087,0.101
61061289,432,Handicap,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2521,1.3437,2.5958,0.5093,0.5456,1.963,1.833,3.4,1.83,1.69,3.39,2.083,1.923,-0.12,-0.091,2.011,1.877,0.181,0.187,1.992,1.859,0.162,0.169,1.973,1.841,0.143,0.151,1.954,1.824,0.124,0.134,1.936,1.807,0.106,0.117,1.918,1.79,0.088,0.1
61061289,562,Handicap,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2404,1.3554,2.5958,0.5097,0.5537,1.962,1.806,3.35,1.85,1.68,3.37,2.101,1.908,-0.139,-0.102,2.026,1.865,0.176,0.185,2.006,1.847,0.156,0.167,1.987,1.829,0.137,0.149,1.968,1.812,0.118,0.132,1.95,1.795,0.1,0.115,1.932,1.778,0.082,0.098
61061289,172,Lead1-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2549,1.3346,2.5895,0.5157,0.5434,1.939,1.84,3.4,1.83,1.7,3.4,2.076,1.929,-0.137,-0.089,1.994,1.892,0.164,0.192,1.975,1.874,0.145,0.174,1.956,1.856,0.126,0.156,1.938,1.839,0.108,0.139,1.919,1.821,0.089,0.121,1.902,1.805,0.072,0.105
61061289,42,Lead1-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2638,1.3406,2.6045,0.516,0.5478,1.938,1.825,3.4,1.83,1.7,3.4,2.076,1.929,-0.138,-0.104,2.002,1.885,0.172,0.185,1.982,1.867,0.152,0.167,1.964,1.849,0.134,0.149,1.945,1.832,0.115,0.132,1.927,1.815,0.097,0.115,1.909,1.798,0.079,0.098
61061289,302,Lead1-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2149,1.3743,2.5892,0.4968,0.563,2.013,1.776,3.4,1.83,1.69,3.39,2.083,1.923,-0.07,-0.147,2.071,1.828,0.241,0.138,2.051,1.81,0.221,0.12,2.032,1.793,0.202,0.103,2.012,1.776,0.182,0.086,1.994,1.759,0.164,0.069,1.975,1.743,0.145,0.053
61061289,432,Lead1-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2498,1.3376,2.5874,0.5139,0.5497,1.946,1.819,3.4,1.83,1.69,3.39,2.083,1.923,-0.137,-0.104,2.009,1.879,0.179,0.189,1.99,1.86,0.16,0.17,1.971,1.843,0.141,0.153,1.953,1.825,0.123,0.135,1.934,1.808,0.104,0.118,1.916,1.792,0.086,0.102
61061289,562,Lead1-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2491,1.3331,2.5823,0.5092,0.5499,1.964,1.818,3.35,1.85,1.68,3.37,2.101,1.908,-0.137,-0.09,2.019,1.87,0.169,0.19,2.0,1.852,0.15,0.172,1.981,1.834,0.131,0.154,1.962,1.817,0.112,0.137,1.944,1.8,0.094,0.12,1.926,1.783,0.076,0.103
61061289,172,Poisson,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2502,1.3456,2.5958,0.5092,0.5532,1.964,1.808,3.4,1.83,1.7,3.4,2.076,1.929,-0.112,-0.121,2.026,1.864,0.196,0.164,2.006,1.847,0.176,0.147,1.987,1.829,0.157,0.129,1.968,1.812,0.138,0.112,1.95,1.795,0.12,0.095,1.932,1.778,0.102,0.078
61061289,42,Poisson,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2502,1.3456,2.5958,0.5112,0.5485,1.956,1.823,3.4,1.83,1.7,3.4,2.076,1.929,-0.12,-0.106,2.013,1.876,0.183,0.176,1.993,1.858,0.163,0.158,1.974,1.84,0.144,0.14,1.956,1.823,0.126,0.123,1.937,1.806,0.107,0.106,1.919,1.789,0.089,0.089
61061289,302,Poisson,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2502,1.3456,2.5958,0.5103,0.5514,1.96,1.814,3.4,1.83,1.69,3.39,2.083,1.923,-0.123,-0.11,2.02,1.869,0.19,0.179,2.0,1.851,0.17,0.161,1.981,1.834,0.151,0.144,1.963,1.817,0.133,0.127,1.944,1.8,0.114,0.11,1.926,1.783,0.096,0.093
61061289,432,Poisson,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2502,1.3456,2.5958,0.5106,0.5544,1.959,1.804,3.4,1.83,1.69,3.39,2.083,1.923,-0.124,-0.12,2.025,1.865,0.195,0.175,2.006,1.847,0.176,0.157,1.987,1.829,0.157,0.139,1.968,1.812,0.138,0.122,1.949,1.795,0.119,0.105,1.931,1.779,0.101,0.089
61061289,562,Poisson,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2371,1.3587,2.5958,0.5057,0.5581,1.977,1.792,3.35,1.85,1.68,3.37,2.101,1.908,-0.124,-0.116,2.042,1.851,0.192,0.171,2.023,1.833,0.173,0.153,2.003,1.815,0.153,0.135,1.985,1.798,0.135,0.118,1.966,1.781,0.116,0.101,1.948,1.765,0.098,0.085
61061289,562,Poisson-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2371,1.3587,2.5958,0.501,0.5342,1.996,1.872,3.35,1.85,1.68,3.37,2.101,1.908,-0.105,-0.036,2.006,1.881,0.156,0.201,1.987,1.863,0.137,0.183,1.968,1.846,0.118,0.166,1.949,1.828,0.099,0.148,1.931,1.811,0.081,0.131,1.913,1.794,0.063,0.114
61061293,174,BTTS,pawa,2026-01-07T19:45:00+00:00,Serie A,Lazio Rome,ACF Fiorentina,1.2604,1.0762,2.3366,0.5506,0.4666,1.816,2.143,3.15,1.73,1.99,3.17,1.869,2.15,-0.053,-0.007,1.794,2.116,0.064,0.126,1.776,2.096,0.046,0.106,1.76,2.076,0.03,0.086,1.743,2.057,0.013,0.067,1.727,2.037,-0.003,0.047,1.711,2.018,-0.019,0.028
