sportradar_id,scraping_history_id,engine_name,bookmaker,start_time,tournament_name,home_team,away_team,lambda_home,lambda_away,lambda_total,p_home_1up,p_away_1up,fair_home,fair_away,pawa_draw,sporty_h_1up,sporty_a_1up,draw,sporty_fair_h,sporty_fair_a,home_fair_diff,away_fair_diff,pawa_3_home,pawa_3_away,pawa_3_home_diff,pawa_3_away_diff,pawa_4_home,pawa_4_away,pawa_4_home_diff,pawa_4_away_diff,pawa_5_home,pawa_5_away,pawa_5_home_diff,pawa_5_away_diff,pawa_6_home,pawa_6_away,pawa_6_home_diff,pawa_6_away_diff,pawa_7_home,pawa_7_away,pawa_7_home_diff,pawa_7_away_diff,pawa_8_home,pawa_8_away,pawa_8_home_diff,pawa_8_away_diff,pawa_9_home,pawa_9_away,pawa_9_home_diff,pawa_9_away_diff,pawa_10_home,pawa_10_away,pawa_10_home_diff,pawa_10_away_diff
61061289,172,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2616,1.3594,2.621,0.515,0.5514,1.942,1.813,3.4,1.83,1.7,3.4,2.076,1.929,-0.135,-0.115,2.01,1.878,0.18,0.178,1.991,1.86,0.161,0.16,1.972,1.842,0.142,0.142,1.953,1.825,0.123,0.125,1.935,1.807,0.105,0.107,1.917,1.791,0.087,0.091,1.9,1.774,0.07,0.074,1.882,1.758,0.052,0.058
61061289,42,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2616,1.3594,2.621,0.5148,0.5512,1.942,1.814,3.4,1.83,1.7,3.4,2.076,1.929,-0.134,-0.115,2.01,1.878,0.18,0.178,1.991,1.86,0.161,0.16,1.972,1.842,0.142,0.142,1.953,1.824,0.123,0.124,1.935,1.807,0.105,0.107,1.917,1.791,0.087,0.091,1.9,1.774,0.07,0.074,1.882,1.758,0.052,0.058
61061289,302,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2616,1.3594,2.621,0.5135,0.5512,1.947,1.814,3.4,1.83,1.69,3.39,2.083,1.923,-0.136,-0.109,2.013,1.875,0.183,0.185,1.994,1.857,0.164,0.167,1.975,1.84,0.145,0.15,1.956,1.822,0.126,0.132,1.938,1.805,0.108,0.115,1.92,1.789,0.09,0.099,1.902,1.772,0.072,0.082,1.885,1.756,0.055,0.066
61061289,432,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2616,1.3594,2.621,0.513,0.5518,1.949,1.812,3.4,1.83,1.69,3.39,2.083,1.923,-0.133,-0.111,2.015,1.873,0.185,0.183,1.996,1.855,0.166,0.165,1.977,1.838,0.147,0.148,1.958,1.82,0.128,0.13,1.94,1.803,0.11,0.113,1.922,1.787,0.092,0.097,1.904,1.77,0.074,0.08,1.887,1.754,0.057,0.064
61061289,562,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2514,1.3769,2.6282,0.5085,0.5562,1.967,1.798,3.35,1.85,1.68,3.37,2.101,1.908,-0.135,-0.11,2.033,1.859,0.183,0.179,2.013,1.841,0.163,0.161,1.994,1.823,0.144,0.143,1.975,1.806,0.125,0.126,1.957,1.789,0.107,0.109,1.939,1.773,0.089,0.093,1.921,1.756,0.071,0.076,1.903,1.74,0.053,0.06
61061289,692,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2373,1.3805,2.6178,0.5024,0.5628,1.99,1.777,3.35,1.86,1.68,3.37,2.107,1.903,-0.117,-0.126,2.058,1.838,0.198,0.158,2.039,1.82,0.179,0.14,2.019,1.803,0.159,0.123,2.0,1.786,0.14,0.106,1.981,1.769,0.121,0.089,1.963,1.753,0.103,0.073,1.945,1.736,0.085,0.056,1.927,1.721,0.067,0.041
61061289,822,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2373,1.3805,2.6178,0.503,0.5629,1.988,1.776,3.35,1.86,1.68,3.37,2.107,1.903,-0.119,-0.127,2.057,1.838,0.197,0.158,2.038,1.821,0.178,0.141,2.018,1.803,0.158,0.123,1.999,1.786,0.139,0.106,1.981,1.77,0.121,0.09,1.962,1.753,0.102,0.073,1.944,1.737,0.084,0.057,1.927,1.721,0.067,0.041
61061289,952,BTTS,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2373,1.3805,2.6178,0.5015,0.5638,1.994,1.774,3.35,1.86,1.68,3.37,2.107,1.903,-0.113,-0.13,2.062,1.834,0.202,0.154,2.043,1.817,0.183,0.137,2.023,1.799,0.163,0.119,2.004,1.782,0.144,0.102,1.985,1.766,0.125,0.086,1.967,1.749,0.107,0.069,1.949,1.733,0.089,0.053,1.931,1.718,0.071,0.038
61061289,952,CalibratedSupremacyPoisson,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2082,1.3435,2.5517,0.5027,0.5496,1.989,1.819,,1.86,1.68,3.37,2.107,1.903,-0.118,-0.084,2.032,1.859,0.172,0.179,2.013,1.841,0.153,0.161,1.994,1.823,0.134,0.143,1.975,1.806,0.115,0.126,1.956,1.789,0.096,0.109,1.938,1.773,0.078,0.093,1.92,1.757,0.06,0.077,1.903,1.741,0.043,0.061
61061289,172,FirstGoal,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2502,1.3456,2.5958,0.5132,0.5504,1.949,1.817,3.4,1.83,1.7,3.4,2.076,1.929,-0.128,-0.112,2.012,1.876,0.182,0.176,1.993,1.858,0.163,0.158,1.974,1.84,0.144,0.14,1.955,1.823,0.125,0.123,1.937,1.806,0.107,0.106,1.919,1.789,0.089,0.089,1.901,1.773,0.071,0.073,1.884,1.757,0.054,0.057
