sportradar_id,scraping_history_id,engine_name,bookmaker,start_time,tournament_name,home_team,away_team,lambda_home,lambda_away,lambda_total,p_home_1up,p_away_1up,fair_home,fair_away,pawa_draw,sporty_h_1up,sporty_a_1up,draw,sporty_fair_h,sporty_fair_a,home_fair_diff,away_fair_diff,1x2_1_odd,1x2_2_odd,1x2_3_odd,away_o_u_0.5_1_odd,away_o_u_0.5_2_odd,away_o_u_1.5_1_odd,away_o_u_1.5_2_odd,away_o_u_2.5_1_odd,away_o_u_2.5_2_odd,away_o_u_3.5_1_odd,away_o_u_3.5_2_odd,away_o_u_4.5_1_odd,away_o_u_4.5_2_odd,away_o_u_5.5_1_odd,away_o_u_5.5_2_odd,home_o_u_0.5_1_odd,home_o_u_0.5_2_odd,home_o_u_1.5_1_odd,home_o_u_1.5_2_odd,home_o_u_2.5_1_odd,home_o_u_2.5_2_odd,home_o_u_3.5_1_odd,home_o_u_3.5_2_odd,home_o_u_4.5_1_odd,home_o_u_4.5_2_odd,home_o_u_5.5_1_odd,home_o_u_5.5_2_odd,over_under_0.5_1_odd,over_under_0.5_2_odd,over_under_1.5_1_odd,over_under_1.5_2_odd,over_under_1_1_odd,over_under_1_2_odd,over_under_2.5_1_odd,over_under_2.5_2_odd,over_under_2_1_odd,over_under_2_2_odd,over_under_3.5_1_odd,over_under_3.5_2_odd,over_under_3_1_odd,over_under_3_2_odd,over_under_4.5_1_odd,over_under_4.5_2_odd,over_under_4_1_odd,over_under_4_2_odd,over_under_5.5_1_odd,over_under_5.5_2_odd,over_under_5_1_odd,over_under_5_2_odd,over_under_6.5_1_odd,over_under_6.5_2_odd,over_under_6_1_odd,over_under_6_2_odd,pawa_3_home,pawa_3_away,pawa_3_home_diff,pawa_3_away_diff,pawa_4_home,pawa_4_away,pawa_4_home_diff,pawa_4_away_diff,pawa_5_home,pawa_5_away,pawa_5_home_diff,pawa_5_away_diff,pawa_6_home,pawa_6_away,pawa_6_home_diff,pawa_6_away_diff,pawa_7_home,pawa_7_away,pawa_7_home_diff,pawa_7_away_diff,pawa_8_home,pawa_8_away,pawa_8_home_diff,pawa_8_away_diff,pawa_9_home,pawa_9_away,pawa_9_home_diff,pawa_9_away_diff,pawa_10_home,pawa_10_away,pawa_10_home_diff,pawa_10_away_diff
61061289,42,Poisson-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2082,1.3435,2.5854,0.5043,0.5518,1.983,1.812,3.35,1.86,1.68,3.37,2.107,1.903,-0.124,-0.091,2.95,3.4,2.6,1.29,3.45,2.35,1.56,5.5,1.14,12.0,1.02,,,,,1.34,3.15,2.6,1.48,6.25,1.11,13.0,1.01,,,,,1.06,9.5,1.32,3.5,,,2.0,1.85,,,3.45,1.33,,,6.75,1.11,,,13.0,1.03,,,,,,,2.033,1.858,0.173,0.178,2.014,1.84,0.154,0.16,1.995,1.823,0.135,0.143,1.976,1.805,0.116,0.125,1.957,1.789,0.097,0.109,1.939,1.772,0.079,0.092,1.921,1.756,0.061,0.076,1.904,1.74,0.044,0.06
61061289,172,Poisson-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2082,1.3435,2.5854,0.4961,0.5606,2.016,1.784,3.35,1.86,1.68,3.37,2.107,1.903,-0.092,-0.119,2.95,3.4,2.6,1.29,3.45,2.35,1.56,5.5,1.14,12.0,1.02,,,,,1.34,3.15,2.6,1.48,6.25,1.11,13.0,1.01,,,,,1.06,9.5,1.32,3.5,,,2.0,1.85,,,3.45,1.33,,,6.75,1.11,,,13.0,1.03,,,,,,,2.068,1.83,0.208,0.15,2.048,1.813,0.188,0.133,2.028,1.795,0.168,0.115,2.009,1.778,0.149,0.098,1.991,1.762,0.131,0.082,1.972,1.745,0.112,0.065,1.954,1.729,0.094,0.049,1.936,1.714,0.076,0.034
61061289,302,Poisson-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2082,1.3435,2.5854,0.4979,0.5561,2.009,1.798,3.35,1.86,1.68,3.37,2.107,1.903,-0.099,-0.105,2.95,3.4,2.6,1.29,3.45,2.35,1.56,5.5,1.14,12.0,1.02,,,,,1.34,3.15,2.6,1.48,6.25,1.11,13.0,1.01,,,,,1.06,9.5,1.32,3.5,,,2.0,1.85,,,3.45,1.33,,,6.75,1.11,,,13.0,1.03,,,,,,,2.055,1.84,0.195,0.16,2.036,1.822,0.176,0.142,2.016,1.805,0.156,0.125,1.997,1.788,0.137,0.108,1.978,1.771,0.118,0.091,1.96,1.755,0.1,0.075,1.942,1.739,0.082,0.059,1.925,1.723,0.065,0.043
61061289,432,Poisson-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2082,1.3435,2.5854,0.4966,0.5558,2.014,1.799,3.35,1.86,1.68,3.37,2.107,1.903,-0.093,-0.104,2.95,3.4,2.6,1.29,3.45,2.35,1.56,5.5,1.14,12.0,1.02,,,,,1.34,3.15,2.6,1.48,6.25,1.11,13.0,1.01,,,,,1.06,9.5,1.32,3.5,,,2.0,1.85,,,3.45,1.33,,,6.75,1.11,,,13.0,1.03,,,,,,,2.058,1.838,0.198,0.158,2.038,1.821,0.178,0.141,2.018,1.803,0.158,0.123,1.999,1.786,0.139,0.106,1.981,1.77,0.121,0.09,1.962,1.753,0.102,0.073,1.944,1.737,0.084,0.057,1.927,1.721,0.067,0.041
61061289,562,Poisson-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2082,1.3435,2.5854,0.4996,0.5538,2.002,1.806,3.35,1.86,1.68,3.37,2.107,1.903,-0.105,-0.098,3.0,3.35,2.55,1.28,3.55,2.35,1.58,5.25,1.15,11.0,1.03,,,,,1.34,3.15,2.65,1.46,6.25,1.11,13.0,1.01,,,,,1.06,9.5,1.31,3.55,,,2.0,1.85,,,3.45,1.33,,,6.75,1.11,,,13.0,1.03,,,,,,,2.047,1.847,0.187,0.167,2.027,1.829,0.167,0.149,2.008,1.811,0.148,0.131,1.989,1.794,0.129,0.114,1.971,1.778,0.111,0.098,1.952,1.761,0.092,0.081,1.934,1.745,0.074,0.065,1.917,1.729,0.057,0.049
61061289,692,Poisson-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2082,1.3435,2.5854,0.4993,0.5559,2.003,1.799,3.35,1.86,1.68,3.37,2.107,1.903,-0.104,-0.104,3.05,3.35,2.55,1.28,3.55,2.35,1.58,5.25,1.15,11.0,1.03,,,,,1.35,3.1,2.65,1.46,6.5,1.1,13.0,1.01,,,,,1.06,9.5,1.32,3.5,,,2.01,1.84,,,3.45,1.33,,,7.0,1.11,,,13.0,1.03,,,,,,,2.052,1.843,0.192,0.163,2.032,1.825,0.172,0.145,2.013,1.808,0.153,0.128,1.994,1.791,0.134,0.111,1.975,1.774,0.115,0.094,1.957,1.757,0.097,0.077,1.939,1.741,0.079,0.061,1.921,1.726,0.061,0.046
61061289,822,Poisson-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2082,1.3435,2.5854,0.4996,0.5543,2.001,1.804,3.35,1.86,1.68,3.37,2.107,1.903,-0.106,-0.099,3.05,3.35,2.55,1.28,3.55,2.35,1.58,5.25,1.15,11.0,1.03,,,,,1.35,3.1,2.65,1.46,6.5,1.1,13.0,1.01,,,,,1.06,9.5,1.32,3.5,,,2.01,1.84,,,3.45,1.33,,,7.0,1.11,,,13.0,1.03,,,,,,,2.048,1.846,0.188,0.166,2.028,1.828,0.168,0.148,2.009,1.811,0.149,0.131,1.99,1.794,0.13,0.114,1.971,1.777,0.111,0.097,1.953,1.761,0.093,0.081,1.935,1.744,0.075,0.064,1.918,1.729,0.058,0.049
61061289,952,Poisson-Calibrated,pawa,2026-01-07T17:30:00+00:00,Serie A,Bologna FC,Atalanta BC,1.2082,1.3435,2.5854,0.502,0.5547,1.992,1.803,3.35,1.86,1.68,3.37,2.107,1.903,-0.115,-0.101,3.05,3.35,2.55,1.28,3.55,2.35,1.58,5.25,1.15,11.0,1.03,,,,,1.35,3.1,2.65,1.46,6.5,1.1,13.0,1.01,,,,,1.06,9.5,1.32,3.5,,,2.01,1.84,,,3.45,1.33,,,7.0,1.11,,,13.0,1.03,,,,,,,2.044,1.849,0.184,0.169,2.024,1.832,0.164,0.152,2.005,1.814,0.145,0.134,1.986,1.797,0.126,0.117,1.967,1.78,0.107,0.1,1.949,1.764,0.089,0.084,1.931,1.748,0.071,0.068,1.914,1.732,0.054,0.052
61061293,44,Poisson-Calibrated,pawa,2026-01-07T19:45:00+00:00,Serie A,Lazio Rome,ACF Fiorentina,1.2004,1.079,2.3098,0.5267,0.4814,1.898,2.077,3.05,1.75,1.96,3.07,1.893,2.12,0.006,-0.043,2.55,3.15,3.2,1.46,2.65,3.15,1.34,8.0,1.06,,,,,,,1.34,3.15,2.65,1.46,6.25,1.11,13.0,1.01,,,,,1.1,7.5,1.43,2.9,,,2.35,1.61,,,4.4,1.23,,,9.5,1.07,,,18.0,1.01,,,,,,,1.858,2.033,0.108,0.073,1.84,2.014,0.09,0.054,1.823,1.995,0.073,0.035,1.806,1.976,0.056,0.016,1.789,1.957,0.039,-0.003,1.772,1.939,0.022,-0.021,1.756,1.921,0.006,-0.039,1.74,1.904,-0.01,-0.056
61061293,174,Poisson-Calibrated,pawa,2026-01-07T19:45:00+00:00,Serie A,Lazio Rome,ACF Fiorentina,1.2004,1.079,2.3098,0.5283,0.479,1.893,2.088,3.05,1.75,1.96,3.07,1.893,2.12,-0.0,-0.032,2.55,3.15,3.2,1.46,2.65,3.15,1.34,8.0,1.06,,,,,,,1.34,3.15,2.65,1.46,6.25,1.11,13.0,1.01,,,,,1.1,7.5,1.43,2.9,,,2.35,1.61,,,4.4,1.23,,,9.5,1.07,,,18.0,1.01,,,,,,,1.851,2.042,0.101,0.082,1.833,2.022,0.083,0.062,1.816,2.003,0.066,0.043,1.799,1.984,0.049,0.024,1.782,1.965,0.032,0.005,1.765,1.947,0.015,-0.013,1.749,1.929,-0.001,-0.031,1.733,1.912,-0.017,-0.048
